epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1351.16,0.00905,0.64848,1.56363,0.80611,0.92754,0.91137,0.52005,0.00797,0.49525,1.26741,0.000639532,0.000639532,0.000639532
43,1370.32,0.00871,0.63679,1.52199,0.79604,0.90508,0.87789,0.47117,0.00838,0.41441,1.28014,0.000624383,0.000624383,0.000624383
44,1392.96,0.00871,0.63539,1.52885,0.8132,0.89855,0.86869,0.48376,0.00807,0.44226,1.30781,0.000609111,0.000609111,0.000609111
45,1412.01,0.00841,0.68862,1.49456,0.77938,0.86957,0.84206,0.47239,0.00818,0.52291,1.31931,0.000593731,0.000593731,0.000593731
46,1431.31,0.00867,0.6503,1.54055,0.78838,0.92754,0.88307,0.53136,0.00725,0.63411,1.19314,0.000578259,0.000578259,0.000578259
47,1453.63,0.00856,0.62332,1.51404,0.76174,0.92754,0.8618,0.52516,0.00756,0.37844,1.29062,0.00056271,0.00056271,0.00056271
48,1474.41,0.00854,0.60864,1.523,0.78696,0.92754,0.87117,0.50699,0.0073,0.45531,1.25683,0.000547099,0.000547099,0.000547099
49,1495.95,0.00886,0.68836,1.53911,0.80112,0.92754,0.89793,0.53074,0.00724,0.39944,1.19913,0.000531442,0.000531442,0.000531442
50,1516.79,0.00878,0.64499,1.55561,0.81121,0.95652,0.90167,0.51365,0.00762,0.39999,1.24195,0.000515754,0.000515754,0.000515754
51,1542.04,0.00844,0.6022,1.51676,0.76358,0.94203,0.87917,0.47696,0.00856,0.59649,1.37518,0.00050005,0.00050005,0.00050005
52,1568.75,0.00842,0.6137,1.50873,0.80319,0.88723,0.89243,0.5512,0.00669,0.42432,1.15575,0.000484346,0.000484346,0.000484346
53,1591.39,0.00822,0.58247,1.47961,0.79694,0.97101,0.90925,0.56218,0.0068,0.39418,1.20116,0.000468658,0.000468658,0.000468658
54,1612.28,0.00811,0.58865,1.46048,0.77796,0.95652,0.90954,0.52984,0.00789,0.43947,1.29832,0.000453001,0.000453001,0.000453001
55,1635.36,0.00838,0.59989,1.49768,0.80162,0.92754,0.91865,0.54027,0.00716,0.43395,1.21727,0.00043739,0.00043739,0.00043739
56,1659.16,0.00812,0.58977,1.469,0.79357,0.97101,0.9306,0.56506,0.00706,0.38275,1.20915,0.000421841,0.000421841,0.000421841
57,1685.19,0.00849,0.6182,1.52083,0.80497,0.98551,0.91444,0.55711,0.00759,0.35028,1.29371,0.000406369,0.000406369,0.000406369
58,1708.45,0.0078,0.57036,1.47144,0.80363,0.97101,0.91886,0.54245,0.00744,0.32659,1.27127,0.000390989,0.000390989,0.000390989
59,1733.87,0.00805,0.55236,1.46484,0.75497,0.94203,0.89567,0.53474,0.00755,0.36765,1.26496,0.000375717,0.000375717,0.000375717
60,1757.03,0.00804,0.57274,1.47177,0.8144,0.95393,0.90271,0.51356,0.00838,0.37225,1.35586,0.000360568,0.000360568,0.000360568
61,1782.28,0.00806,0.5787,1.45682,0.81726,0.98551,0.92526,0.52493,0.00791,0.33069,1.29464,0.000345557,0.000345557,0.000345557
62,1805.51,0.00785,0.55428,1.43908,0.82358,0.97101,0.90512,0.551,0.00745,0.34325,1.22834,0.000330698,0.000330698,0.000330698
