epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1152.1,0.0084,0.6961,1.20816,0.74314,0.68812,0.75682,0.29252,0.01476,0.79746,1.9304,0.000639532,0.000639532,0.000639532
43,1165.27,0.00775,0.6353,1.15952,0.73754,0.66832,0.76958,0.35641,0.01285,0.89498,1.64039,0.000624383,0.000624383,0.000624383
44,1184.87,0.00782,0.6333,1.17396,0.65264,0.68812,0.71636,0.35162,0.01136,0.85621,1.50378,0.000609111,0.000609111,0.000609111
45,1213.67,0.00804,0.65354,1.19221,0.83001,0.75743,0.85442,0.39403,0.01229,0.75876,1.54523,0.000593731,0.000593731,0.000593731
46,1236.55,0.00785,0.63645,1.16327,0.77295,0.63861,0.73688,0.27548,0.01497,0.87414,1.93148,0.000578259,0.000578259,0.000578259
47,1248.52,0.00779,0.6369,1.16033,0.68475,0.67327,0.72138,0.36926,0.01158,0.9609,1.48853,0.00056271,0.00056271,0.00056271
48,1262.41,0.00757,0.61317,1.15831,0.791,0.8244,0.86351,0.41481,0.01212,0.66582,1.55293,0.000547099,0.000547099,0.000547099
49,1274.04,0.00787,0.63707,1.16178,0.82872,0.75743,0.83824,0.42571,0.01179,0.71932,1.51935,0.000531442,0.000531442,0.000531442
50,1288.86,0.00756,0.6283,1.15125,0.74832,0.5,0.63294,0.32708,0.01186,1.1448,1.54505,0.000515754,0.000515754,0.000515754
51,1300.95,0.0079,0.64234,1.18069,0.77199,0.46535,0.59838,0.30026,0.01213,1.12612,1.6164,0.00050005,0.00050005,0.00050005
52,1315.07,0.00758,0.58786,1.14448,0.7603,0.66337,0.78259,0.37065,0.01246,0.80623,1.59784,0.000484346,0.000484346,0.000484346
53,1382.45,0.00694,0.52911,1.08833,0.79951,0.71069,0.8134,0.34762,0.01355,0.79305,1.76896,0.000468658,0.000468658,0.000468658
54,1421.75,0.00757,0.58262,1.1352,0.80458,0.71287,0.82906,0.36555,0.01341,0.7307,1.75568,0.000453001,0.000453001,0.000453001
55,1432.84,0.00706,0.55123,1.11353,0.77316,0.7593,0.82517,0.4489,0.01069,0.78819,1.41395,0.00043739,0.00043739,0.00043739
56,1446.45,0.0074,0.58278,1.12935,0.78666,0.72772,0.82697,0.35079,0.01325,0.78112,1.7238,0.000421841,0.000421841,0.000421841
57,1471.12,0.00742,0.57224,1.14497,0.80508,0.77228,0.84696,0.45297,0.01118,0.62006,1.47652,0.000406369,0.000406369,0.000406369
58,1488.54,0.00758,0.59531,1.15461,0.69194,0.57821,0.70169,0.35081,0.01152,1.1068,1.52944,0.000390989,0.000390989,0.000390989
59,1501.47,0.00722,0.55908,1.11301,0.78505,0.67822,0.77393,0.41921,0.01075,0.94713,1.41495,0.000375717,0.000375717,0.000375717
60,1514.62,0.00727,0.58349,1.1449,0.86012,0.63923,0.81802,0.42247,0.01118,0.82967,1.49277,0.000360568,0.000360568,0.000360568
61,1525.39,0.00738,0.55491,1.12266,0.87197,0.63366,0.81421,0.42198,0.01111,0.84604,1.47751,0.000345557,0.000345557,0.000345557
62,1539.64,0.00717,0.53704,1.09876,0.75202,0.76733,0.83265,0.42157,0.01168,0.67424,1.53541,0.000330698,0.000330698,0.000330698
